City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Salinopolis,BR,-0.61,-47.36,78.17,85,84,10.42,broken clouds
138,Leningradskiy,RU,69.38,178.42,17.83,92,58,14.65,broken clouds
139,Vardo,NO,70.37,31.11,34.34,86,25,11.77,scattered clouds
140,Chinsali,ZM,-10.54,32.08,70.38,54,11,4.03,few clouds
141,Kaisiadorys,LT,54.87,24.45,46.4,93,90,1.12,mist
142,Barrow,US,71.29,-156.79,8.6,84,1,8.05,clear sky
143,Puerto Ayora,EC,-0.74,-90.35,70.0,92,90,5.01,overcast clouds
144,Lishan,CN,31.86,113.3,64.4,76,99,4.43,overcast clouds
145,Mizdah,LY,31.45,12.98,50.77,89,56,3.76,broken clouds
146,Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,75.29,87,84,1.01,broken clouds
147,Shingu,JP,33.73,135.98,66.2,48,20,4.7,few clouds
148,Comodoro Rivadavia,AR,-45.87,-67.5,53.6,58,0,3.36,clear sky
149,Nyurba,RU,63.28,118.33,1.49,84,68,3.4,broken clouds
150,Waingapu,ID,-9.66,120.26,87.17,62,62,9.57,moderate rain
151,San Quintin,MX,30.48,-115.95,63.5,75,80,4.43,broken clouds
152,Qui Nhon,VN,13.77,109.23,80.91,85,33,15.17,moderate rain
153,Muros,ES,42.78,-9.06,62.01,91,99,11.99,overcast clouds
154,Port Augusta,AU,-32.5,137.77,66.2,59,90,16.11,overcast clouds
155,Esperance,AU,-33.87,121.9,87.8,22,13,17.22,few clouds
156,Port Alfred,ZA,-33.59,26.89,61.81,63,92,3.13,overcast clouds
157,Tiksi,RU,71.69,128.87,6.48,95,100,3.22,overcast clouds
158,Urucui,BR,-7.23,-44.56,79.18,73,44,0.92,light rain
159,Osorno,CL,-40.57,-73.15,50.0,71,0,2.24,clear sky
160,Grindavik,IS,63.84,-22.43,42.8,81,75,25.28,shower rain
161,Ixtapa,MX,20.7,-105.2,80.6,78,90,2.04,overcast clouds
162,Ossora,RU,59.24,163.07,32.02,93,69,0.63,broken clouds
163,Saint George,US,37.1,-113.58,59.0,21,1,5.82,clear sky
164,Mitu,CO,1.2,-70.17,74.35,94,33,2.17,scattered clouds
165,Nome,US,64.5,-165.41,21.2,67,1,10.29,clear sky
166,Varna,BG,43.22,27.92,48.2,87,0,10.29,clear sky
167,Bozoum,CF,6.32,16.38,69.71,89,86,1.41,overcast clouds
168,Kodiak,US,57.79,-152.41,35.6,59,90,10.29,light snow
169,Ca Mau,VN,9.18,105.15,86.63,71,54,6.06,broken clouds
170,Kaduy,RU,59.2,37.15,42.8,93,90,4.21,overcast clouds
171,Ostrovnoy,RU,68.05,39.51,32.86,94,91,19.28,overcast clouds
172,Porto Novo,BJ,6.5,2.6,80.6,88,40,10.29,scattered clouds
173,Copiapo,CL,-27.37,-70.33,55.4,82,90,5.82,overcast clouds
174,Lavrentiya,RU,65.58,-171.0,20.3,90,0,10.85,clear sky
175,Andenes,NO,69.31,16.12,39.2,64,84,19.46,light rain
176,Targoviste,RO,44.92,25.46,42.8,100,75,4.7,fog
177,Arman,RU,59.7,150.17,32.18,97,100,10.25,overcast clouds
178,Bundaberg,AU,-24.85,152.35,82.99,54,0,25.28,clear sky
179,Smithers,CA,54.78,-127.17,24.8,100,40,2.42,fog
180,Falam,MM,22.92,93.68,62.82,100,91,0.92,overcast clouds
181,Narsaq,GL,60.92,-46.05,23.0,79,89,3.36,overcast clouds
182,Ati,TD,13.22,18.34,82.58,19,57,10.76,broken clouds
183,Gravdal,NO,68.12,13.5,46.81,77,100,21.54,light rain
184,Verkhoyansk,RU,67.54,133.38,-2.09,90,97,3.49,overcast clouds
185,Roebourne,AU,-20.78,117.13,91.69,34,0,16.13,clear sky
186,Isangel,VU,-19.55,169.27,82.4,74,75,11.41,broken clouds
187,Chuy,UY,-33.7,-53.46,52.86,85,98,6.22,overcast clouds
188,Tombouctou,ML,20.0,-3.0,76.93,18,75,10.87,broken clouds
189,Port Hedland,AU,-20.32,118.57,91.4,46,0,19.46,clear sky
190,Sur,OM,22.57,59.53,81.41,43,0,11.81,clear sky
191,Villa Carlos Paz,AR,-31.42,-64.5,60.01,70,0,1.86,clear sky
192,Brewster,US,41.4,-73.62,30.0,92,1,3.36,clear sky
193,Te Anau,NZ,-45.42,167.72,56.61,77,82,7.67,broken clouds
194,Asau,RO,46.43,26.4,42.01,97,100,3.18,light rain
195,Papetoai,PF,-17.5,-149.87,82.4,65,20,6.93,few clouds
196,Kununurra,AU,-15.77,128.73,102.2,24,40,5.82,scattered clouds
197,Avera,US,33.19,-82.53,55.4,87,1,5.82,clear sky
198,Abha,SA,18.22,42.51,57.2,51,0,1.3,clear sky
199,Codrington,AU,-38.27,141.97,56.57,74,73,13.18,broken clouds
200,Saldanha,ZA,-33.01,17.94,48.2,76,0,5.82,clear sky
201,Mount Gambier,AU,-37.83,140.77,57.2,67,90,13.87,overcast clouds
202,Batagay,RU,67.63,134.63,-2.61,90,95,2.19,overcast clouds
203,Pedasi,PA,7.53,-80.03,77.9,87,12,11.25,light rain
204,Diamond Harbour,IN,22.19,88.18,80.6,78,40,8.23,haze
205,Borzya,RU,50.38,116.52,29.84,93,100,20.58,overcast clouds
206,Tuatapere,NZ,-46.13,167.68,53.01,85,100,15.99,overcast clouds
207,Sola,VU,-13.88,167.55,80.83,80,100,16.42,light rain
208,Luderitz,NA,-26.65,15.16,58.75,62,100,23.98,overcast clouds
209,Mikhaylovka,RU,50.06,43.24,50.0,92,100,9.53,light rain
210,Salalah,OM,17.02,54.09,77.0,36,0,4.7,clear sky
211,Alcudia,ES,39.85,3.12,52.0,93,0,4.7,clear sky
212,Lagoa,PT,39.05,-27.98,68.36,94,100,23.71,overcast clouds
